,Unnamed: 0,lyric,line,track_title,album,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,Without Stopwords,With Lemmatization,Without Stopwords and With Lemmatization,Lowercase and Expanded Contraction
24,24,it is hard not to find it all a little bittersweet,25,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,hard find little bittersweet,it be hard not to find it all a little bittersweet,hard find little bittersweet,it is hard not to find it all a little bittersweet
25,25,"And lookin' back on all of that, it is nice to believe",26,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,lookin back nice believe,and lookin back on all of that it be nice to believe,lookin back nice believe,and lookin back on all of that it is nice to believe
26,26,And I am back for the first time since then,37,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,back first time since,and i be back for the first time since then,back first time since,and i am back for the first time since then
27,27,I am standin' on your street,38,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,standin street,i be standin on your street,standin street,i am standin on your street
28,28,And there is a letter left on your doorstep,39,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,letter left doorstep,and there be a letter leave on your doorstep,letter leave doorstep,and there is a letter left on your doorstep
29,29,And the first thing that you will read is:,40,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,first thing read,and the first thing that you will read be,first thing read,and the first thing that you will read is
30,30,"""When you think Tim McGraw",41,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,think tim mcgraw,when you think tim mcgraw,think tim mcgraw,when you think tim mcgraw
31,31,Someday you will turn your radio on,43,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,someday turn radio,someday you will turn your radio on,someday turn radio,someday you will turn your radio on
32,32,"I hope it takes you back to that place""",44,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,hope takes back place,i hope it take you back to that place,hope take back place,i hope it takes you back to that place
33,33,"Oh, think of me",51,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,oh think,oh think of me,oh think,oh think of me
34,34,Mmmm,52,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,mmmm,mmmm,mmmm,mmmm
35,35,He said the way my blue eyes shine,53,Tim McGraw,Taylor Swift,2006-10-24,232106,49,0.58,0.575,0.491,0.0,0.121,-6.4620000000000015,0.0251,0.425,76.009,said way blue eyes shine,he say the way my blue eye shine,say way blue eye shine,he said the way my blue eyes shine
36,36,"State the obvious, I did not get my perfect fantasy",1,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,state obvious get perfect fantasy,state the obvious i do not get my perfect fantasy,state obvious get perfect fantasy,state the obvious i did not get my perfect fantasy
37,37,I realize you love yourself more than you could ever love me,2,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,realize love could ever love,i realize you love yourself more than you could ever love me,realize love could ever love,i realize you love yourself more than you could ever love me
38,38,So go and tell your friends that I am obsessive and crazy,3,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,go tell friends obsessive crazy,so go and tell your friend that i be obsessive and crazy,go tell friend obsessive crazy,so go and tell your friends that i am obsessive and crazy
39,39,"that is fine, I will tell mine that you are gay",4,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,fine tell mine gay,that be fine i will tell mine that you be gay,fine tell mine gay,that is fine i will tell mine that you are gay
40,40,By the way,5,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,way,by the way,way,by the way
41,41,I hate that stupid old pickup truck,6,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,hate stupid old pickup truck,i hate that stupid old pickup truck,hate stupid old pickup truck,i hate that stupid old pickup truck
42,42,You never let me drive,7,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,never let drive,you never let me drive,never let drive,you never let me drive
43,43,you are a redneck heartbreak,8,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,redneck heartbreak,you be a redneck heartbreak,redneck heartbreak,you are a redneck heartbreak
44,44,who is really bad at lying,9,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,really bad lying,who be really bad at lie,really bad lie,who is really bad at lying
45,45,So watch me strike a match,10,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,watch strike match,so watch me strike a match,watch strike match,so watch me strike a match
46,46,On all my wasted time,11,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,wasted time,on all my wasted time,wasted time,on all my wasted time
47,47,As far as I am concerned you are,12,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,far concerned,as far a i be concern you be,far concern,as far as i am concerned you are
48,48,Just another picture to burn,13,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,another picture burn,just another picture to burn,another picture burn,just another picture to burn
49,49,there is no time for tears,14,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,time tears,there be no time for tear,time tear,there is no time for tears
50,50,I am just sitting here planning my revenge,15,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,sitting planning revenge,i be just sit here plan my revenge,sit plan revenge,i am just sitting here planning my revenge
51,51,there is nothing stopping me,16,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,nothing stopping,there be nothing stop me,nothing stop,there is nothing stopping me
52,52,From going out with all of your best friends,17,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,going best friends,from go out with all of your best friend,go best friend,from going out with all of your best friends
53,53,And if you come around saying sorry to me,18,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,come around saying sorry,and if you come around say sorry to me,come around say sorry,and if you come around saying sorry to me
54,54,My daddy's going to show you how sorry you will be,19,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,daddy going show sorry,my daddy s go to show you how sorry you will be,daddy go show sorry,my daddy s going to show you how sorry you will be
55,55,And if you are missing me,28,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,missing,and if you be miss me,miss,and if you are missing me
56,56,you would better keep it to yourself,29,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,would better keep,you would better keep it to yourself,would better keep,you would better keep it to yourself
57,57,because coming back around here,30,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,coming back around,because come back around here,come back around,because coming back around here
58,58,Would be bad for your health,31,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,would bad health,would be bad for your health,would bad health,would be bad for your health
59,59,because I hate that stupid old pickup truck,32,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,hate stupid old pickup truck,because i hate that stupid old pickup truck,hate stupid old pickup truck,because i hate that stupid old pickup truck
60,60,In case you have not heard,38,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.173,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586,case heard,in case you have not hear,case hear,in case you have not heard
