,lyric,line,track_title,album,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
36,"State the obvious, I didn't get my perfect fantasy",1,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
37,I realize you love yourself more than you could ever love me,2,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
38,So go and tell your friends that I'm obsessive and crazy,3,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
39,"That's fine, I'll tell mine that you're gay",4,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
40,By the way,5,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
41,I hate that stupid old pickup truck,6,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
42,You never let me drive,7,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
43,You're a redneck heartbreak,8,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
44,Who's really bad at lying,9,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
45,So watch me strike a match,10,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
46,On all my wasted time,11,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
47,As far as I'm concerned you're,12,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
48,Just another picture to burn,13,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
49,There's no time for tears,14,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
50,I'm just sitting here planning my revenge,15,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
51,There's nothing stopping me,16,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
52,From going out with all of your best friends,17,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
53,And if you come around saying sorry to me,18,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
54,My daddy's gonna show you how sorry you'll be,19,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
55,And if you're missing me,28,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
56,You'd better keep it to yourself,29,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
57,'Cause coming back around here,30,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
58,Would be bad for your health,31,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
59,Cause I hate that stupid old pickup truck,32,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
60,In case you haven't heard,38,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
61,I really really hate that,39,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
62,"Burn, burn, burn, baby, burn",48,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
63,You're just another picture to burn,49,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
64,"Baby, burn",50,Picture To Burn,Taylor Swift,2006-10-24,173066,54,0.6579999999999999,0.17300000000000001,0.877,0.0,0.0962,-2.0980000000000003,0.0323,0.821,105.586
65,Drew looks at me,1,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
66,I fake a smile so he won't see,2,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
67,That I want and I'm needing,3,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
68,Everything that we should be,4,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
69,"I'll bet she's beautiful, that girl he talks about",5,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
70,And she's got everything that I have to live without,6,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
71,Drew talks to me,7,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
72,I laugh 'cause it's so damn funny,8,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
73,That I can't even see,9,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
74,Anyone when he's with me,10,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
75,"He says he's so in love, he's finally got it right",11,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,2006-10-24,203040,59,0.621,0.28800000000000003,0.41700000000000004,0.0,0.11900000000000001,-6.941,0.0231,0.289,99.95299999999999
