,lyric,line,track_title,album,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
370,Why would you wanna make the very first scar?,3,A Perfectly Good Heart,Taylor Swift,2006-10-24,220146,46,0.483,0.00349,0.7509999999999999,0.0,0.128,-5.726,0.0365,0.268,156.092
371,"Maybe I should've seen the signs, should've read the writing on the wall",5,A Perfectly Good Heart,Taylor Swift,2006-10-24,220146,46,0.483,0.00349,0.7509999999999999,0.0,0.128,-5.726,0.0365,0.268,156.092
372,And realized by the distance in your eyes that I would be the one to fall,6,A Perfectly Good Heart,Taylor Swift,2006-10-24,220146,46,0.483,0.00349,0.7509999999999999,0.0,0.128,-5.726,0.0365,0.268,156.092
373,"No matter what you say, I still can't believe",7,A Perfectly Good Heart,Taylor Swift,2006-10-24,220146,46,0.483,0.00349,0.7509999999999999,0.0,0.128,-5.726,0.0365,0.268,156.092
374,That you would walk away,8,A Perfectly Good Heart,Taylor Swift,2006-10-24,220146,46,0.483,0.00349,0.7509999999999999,0.0,0.128,-5.726,0.0365,0.268,156.092
375,"It don't make sense to me, but",9,A Perfectly Good Heart,Taylor Swift,2006-10-24,220146,46,0.483,0.00349,0.7509999999999999,0.0,0.128,-5.726,0.0365,0.268,156.092
376,"Why would you wanna take our love and tear it all apart,now?",11,A Perfectly Good Heart,Taylor Swift,2006-10-24,220146,46,0.483,0.00349,0.7509999999999999,0.0,0.128,-5.726,0.0365,0.268,156.092
377,It's not unbroken anymore,14,A Perfectly Good Heart,Taylor Swift,2006-10-24,220146,46,0.483,0.00349,0.7509999999999999,0.0,0.128,-5.726,0.0365,0.268,156.092
378,How do I get it back the way it was before?,15,A Perfectly Good Heart,Taylor Swift,2006-10-24,220146,46,0.483,0.00349,0.7509999999999999,0.0,0.128,-5.726,0.0365,0.268,156.092
379,There's something 'bout the way,1,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
380,The street looks when it's just rained,2,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
381,There's a glow off the pavement,3,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
382,You walk me to the car,4,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
383,And you know I wanna ask you to dance right there,5,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
384,"In the middle of the parking lot, yeah",6,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
385,"Oh, yeah",7,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
386,We're driving down the road,8,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
387,I wonder if you know,9,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
388,I'm trying so hard not to get caught up now,10,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
389,But you're just so cool,11,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
390,Run your hands through your hair,12,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
391,Absent mindedly making me want you,13,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
392,And I don't know how it gets better than this,14,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
393,You take my hand and drag me head first,15,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
394,Fearless,16,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
395,And I don't know why but with you I'd dance in a storm in my best dress,17,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
396,So baby drive slow,19,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
397,'til we run out of road in this one horse town,20,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
398,I wanna stay right here in this passenger's seat,21,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
399,You put your eyes on me,22,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
400,"In this moment now capture it, remember it",23,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
401,Well you stood there with me in the doorway,29,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
402,"My hands shake, I'm not usually this way but",30,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
403,You pull me in and I'm a little more brave,31,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
404,"It's the first kiss, it's flawless, really something",32,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
405,It's fearless,33,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
406,Oh oh,45,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
407,Oh yeah,46,Fearless (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,241591,69,0.569,0.0122,0.741,0.0,0.33299999999999996,-4.963,0.0282,0.43,100.118
408,You take a deep breath and you walk through the doors,1,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
409,It's the morning of your very first day,2,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
410,You say hi to your friends you ain't seen in a while,3,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
411,Try and stay out of everybody's way,4,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
412,It's your freshman year and you're going to be here,5,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
413,For the next four years in this town,6,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
414,Hoping one of those senior boys will wink at you and say,7,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
415,"""You know, I haven't seen you around before""",8,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
416,Because when you're fifteen and somebody tells you they love you,9,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
417,You're going to believe them,10,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
418,And when you're fifteen feeling like there's nothing to figure out,11,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
419,"Well, count to ten, take it in",12,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
420,This is life before you know who you're going to be,13,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
421,Fifteen,14,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
422,You sit in class next to a redhead named Abigail,15,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
423,And soon enough you're best friends,16,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
424,Laughing at the other girls who think they're so cool,17,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
425,We'll be outta here as soon as we can,18,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
426,And then you're on your very first date and he's got a car,19,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
427,And you're feeling like flying,20,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
428,And your momma's waiting up and you're thinking he's the one,21,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
429,And you're dancing 'round your room when the night ends,22,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
430,When the night ends,23,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
431,When you're fifteen and your first kiss,26,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
432,Makes your head spin 'round,27,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
433,But in your life you'll do things greater than,28,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
434,Dating the boy on the football team,29,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
435,But I didn't know it at fifteen,30,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
436,When all you wanted was to be wanted,31,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
437,Wish you could go back and tell yourself what you know now,32,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
438,Back then I swore I was going to marry him someday,33,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
439,But I realized some bigger dreams of mine,34,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
440,And Abigail gave everything she had to a boy,35,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
441,Who changed his mind and we both cried,36,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
442,"And when you're fifteen, don't forget to look before you fall",39,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
443,I've found time can heal most anything,40,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
444,And you just might find who you're supposed to be,41,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
445,I didn't know who I was supposed to be at fifteen,42,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
446,La la la la la la la la la la,43,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
447,La la la la la la,45,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
448,Your very first day,46,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
449,Take a deep breath girl,47,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
450,Take a deep breath as you walk through the doors,48,Fifteen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,294419,66,0.5589999999999999,0.11599999999999999,0.6459999999999999,0.0,0.32,-4.61,0.0272,0.289,95.46600000000001
451,We were both young when I first saw you,1,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
452,"I close my eyes, and the flashback starts",2,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
453,I'm standing there,3,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
454,On a balcony in summer air,4,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
455,"See the lights, see the party, the ball gowns",5,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
456,See you make your way through the crowd,6,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
457,"And say, ""hello""",7,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
458,Little did I know,8,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
459,"That you were Romeo, you were throwing pebbles",9,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
460,"And my daddy said, ""stay away from Juliet""",10,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
461,And I was crying on the staircase,11,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
462,"Begging you, ""please don't go,"" and I said",12,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
463,"Romeo, take me somewhere we can be alone",13,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
464,"I'll be waiting, all there's left to do is run",14,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
465,You'll be the prince and I'll be the princess,15,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
466,"It's a love story baby just say ""yes""",16,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
467,So I sneak out to the garden to see you,17,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
468,"We keep quiet, 'cause we're dead if they knew",18,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
469,So close your eyes,19,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
470,Escape this town for a little while,20,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
471,"'Cause you were Romeo, I was a scarlet letter",21,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
472,"And my daddy said, ""Stay away from Juliet""",22,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
473,But you were everything to me,23,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
474,I was begging you please don't go and I said,24,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
475,"Romeo, save me, they're trying to tell me how to feel",29,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
476,"This love is difficult, but it's real",30,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
477,"Don't be afraid, we'll make it out of this mess",31,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
478,"Oh, oh",33,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
479,I got tired of waiting,34,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
480,Wondering if you were ever coming around,35,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
481,My faith in you was fading,36,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
482,"When I met you on the outskirts of town, and I said",37,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
483,Romeo save me I've been feeling so alone,38,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
484,I keep waiting for you but you never come,39,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
485,Is this in my head? I don't know what to think,40,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
486,He knelt to the ground and pulled out a ring,41,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
487,"And said: ""Marry me Juliet",42,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
488,You'll never have to be alone,43,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
489,I love you and that's all I really know,44,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
490,"I talked to your dad, go pick out a white dress",45,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
491,"It's a love story baby just say 'yes'""",46,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
492,Because we were both young when I first saw you,49,Love Story (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,235766,74,0.627,0.13,0.792,3.97e-06,0.0845,-4.311,0.031,0.415,119.054
493,"Hey Stephen, I know looks can be deceiving",1,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,254254,66,0.7879999999999999,0.106,0.5710000000000001,0.0,0.0934,-6.135,0.0296,0.797,115.99
494,But I know I saw a light in you,2,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,254254,66,0.7879999999999999,0.106,0.5710000000000001,0.0,0.0934,-6.135,0.0296,0.797,115.99
495,And as we walked we were talking,3,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,254254,66,0.7879999999999999,0.106,0.5710000000000001,0.0,0.0934,-6.135,0.0296,0.797,115.99
496,I didn't say half the things I wanted to,4,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,254254,66,0.7879999999999999,0.106,0.5710000000000001,0.0,0.0934,-6.135,0.0296,0.797,115.99
497,Of all the girls tossing rocks at your window,5,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,254254,66,0.7879999999999999,0.106,0.5710000000000001,0.0,0.0934,-6.135,0.0296,0.797,115.99
498,I'll be the one waiting there even when it's cold,6,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,254254,66,0.7879999999999999,0.106,0.5710000000000001,0.0,0.0934,-6.135,0.0296,0.797,115.99
499,"Hey Stephen, boy, you might have me believing",7,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,254254,66,0.7879999999999999,0.106,0.5710000000000001,0.0,0.0934,-6.135,0.0296,0.797,115.99
500,I don't always have to be alone,8,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,254254,66,0.7879999999999999,0.106,0.5710000000000001,0.0,0.0934,-6.135,0.0296,0.797,115.99
501,'Cause I can't help it if you look like an angel,9,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,254254,66,0.7879999999999999,0.106,0.5710000000000001,0.0,0.0934,-6.135,0.0296,0.797,115.99
502,Can't help it if I wanna kiss you in the rain so,10,Hey Stephen (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,254254,66,0.7879999999999999,0.106,0.5710000000000001,0.0,0.0934,-6.135,0.0296,0.797,115.99
